p0,pv_fixed,total_cost,bat_emax_t0,pv_wp,scenario,pv_curt_Wh,sat_time_pct,unserved_Wh,capex_total_EUR,opex_total_EUR,repl_bat_EUR,fuel_cost_EUR
0,18000,66058.60519611702,126982.95398259883,18000.0,1,43160.11243990169,90.0,212936.31190160045,42237.95447791186,4086.505746728152,19734.144971477,0.0
0,18000,66058.60519611702,126982.95398259883,18000.0,2,40190.5578346665,90.0,229503.04183655902,42237.95447791186,4086.505746728152,19734.144971477,0.0
0,18000,66058.60519611702,126982.95398259883,18000.0,3,35384.76310182411,90.0,218396.33521319562,42237.95447791186,4086.505746728152,19734.144971477,0.0
0,18000,66058.60519611702,126982.95398259883,18000.0,4,9244.878505627059,90.0,198806.50665203223,42237.95447791186,4086.505746728152,19734.144971477,0.0
0,18000,66058.60519611702,126982.95398259883,18000.0,5,61287.4833428752,90.0,225945.5289514999,42237.95447791186,4086.505746728152,19734.144971477,0.0
0,20000,52644.60141968481,67032.8063974357,20000.0,1,137799.16174574455,90.0,207810.40813100792,38043.936767692285,4183.241857802196,10417.422794190332,0.0
0,20000,52644.60141968481,67032.8063974357,20000.0,2,143882.19194081548,90.0,230438.89854148816,38043.936767692285,4183.241857802196,10417.422794190332,0.0
0,20000,52644.60141968481,67032.8063974357,20000.0,3,169375.04233116063,90.0,242426.32293772948,38043.936767692285,4183.241857802196,10417.422794190332,0.0
0,20000,52644.60141968481,67032.8063974357,20000.0,4,71505.39387154505,90.0,169397.59515290562,38043.936767692285,4183.241857802196,10417.422794190332,0.0
0,20000,52644.60141968481,67032.8063974357,20000.0,5,105219.79797834679,90.41666666666667,172575.61381591414,38043.936767692285,4183.241857802196,10417.422794190332,0.0
0,22000,55049.923253909146,63533.35458482981,22000.0,1,240528.11467649025,90.0,213057.02306566824,40624.002550179575,4552.340112171625,9873.580591557953,0.0
0,22000,55049.923253909146,63533.35458482981,22000.0,2,243278.0511426111,90.0,227838.34926078556,40624.002550179575,4552.340112171625,9873.580591557953,0.0
0,22000,55049.923253909146,63533.35458482981,22000.0,3,279975.72473246773,90.0,252171.29982300662,40624.002550179575,4552.340112171625,9873.580591557953,0.0
0,22000,55049.923253909146,63533.35458482981,22000.0,4,195191.02791430565,90.0,187097.61733967173,40624.002550179575,4552.340112171625,9873.580591557953,0.0
0,22000,55049.923253909146,63533.35458482981,22000.0,5,169207.86749821444,90.0,146181.6960459451,40624.002550179575,4552.340112171625,9873.580591557953,0.0
0,24000,58949.47737162807,65366.01705605053,24000.0,1,321950.5342987472,90.0,199607.12866886857,43843.92204672606,4947.164640677519,10158.390684224492,0.0
0,24000,58949.47737162807,65366.01705605053,24000.0,2,332525.14536423737,90.0,227558.86558938547,43843.92204672606,4947.164640677519,10158.390684224492,0.0
0,24000,58949.47737162807,65366.01705605053,24000.0,3,360459.87557821977,90.0,236980.7040567027,43843.92204672606,4947.164640677519,10158.390684224492,0.0
0,24000,58949.47737162807,65366.01705605053,24000.0,4,302669.97535972664,90.0,202764.5266557824,43843.92204672606,4947.164640677519,10158.390684224492,0.0
0,24000,58949.47737162807,65366.01705605053,24000.0,5,291195.8781235302,90.0,161869.44700945105,43843.92204672606,4947.164640677519,10158.390684224492,0.0
0,26000,58609.66262218971,52070.643852581445,26000.0,1,458187.51095598924,90.0,231028.51313453418,45248.477262309774,5268.999737187597,8092.185622692345,0.0
0,26000,58609.66262218971,52070.643852581445,26000.0,2,434065.506830465,90.0,223850.2783025791,45248.477262309774,5268.999737187597,8092.185622692345,0.0
0,26000,58609.66262218971,52070.643852581445,26000.0,3,481349.52977754636,90.0,253444.0927076307,45248.477262309774,5268.999737187597,8092.185622692345,0.0
0,26000,58609.66262218971,52070.643852581445,26000.0,4,400954.07641217497,90.0,194759.68117508423,45248.477262309774,5268.999737187597,8092.185622692345,0.0
0,26000,58609.66262218971,52070.643852581445,26000.0,5,411785.0174245675,90.0,186531.68700880106,45248.477262309774,5268.999737187597,8092.185622692345,0.0
0,28000,61743.56311751358,51171.098847406094,28000.0,1,537650.8412533279,90.41666666666667,215715.1749849381,48140.53186168873,5650.641967866779,7952.389287958069,0.0
0,28000,61743.56311751358,51171.098847406094,28000.0,2,528074.8282590591,90.0,218023.0846704969,48140.53186168873,5650.641967866779,7952.389287958069,0.0
0,28000,61743.56311751358,51171.098847406094,28000.0,3,585224.4187114815,90.0,260129.80812132245,48140.53186168873,5650.641967866779,7952.389287958069,0.0
0,28000,61743.56311751358,51171.098847406094,28000.0,4,503856.31935632735,90.0,202083.3345300961,48140.53186168873,5650.641967866779,7952.389287958069,0.0
0,28000,61743.56311751358,51171.098847406094,28000.0,5,486034.1417339459,90.0,168814.4433538057,48140.53186168873,5650.641967866779,7952.389287958069,0.0
0,30000,65292.809230299026,51753.699773659944,30000.0,1,639145.3140646144,90.41666666666667,220639.73614899573,51210.443972839195,6039.435225420583,8042.930032039247,0.0
0,30000,65292.809230299026,51753.699773659944,30000.0,2,639045.3907077569,90.0,230722.9240591111,51210.443972839195,6039.435225420583,8042.930032039247,0.0
0,30000,65292.809230299026,51753.699773659944,30000.0,3,687986.85005095,90.0,263801.0889085341,51210.443972839195,6039.435225420583,8042.930032039247,0.0
0,30000,65292.809230299026,51753.699773659944,30000.0,4,596206.0333336602,90.0,198472.618112398,51210.443972839195,6039.435225420583,8042.930032039247,0.0
0,30000,65292.809230299026,51753.699773659944,30000.0,5,581122.4357168875,90.41666666666667,169506.8676060005,51210.443972839195,6039.435225420583,8042.930032039247,0.0
