p0,pv_fixed,total_cost,bat_emax_t0,pv_wp,scenario,load_total_Wh,load_pct_energy_9_16,pv_curt_Wh,sat_time_pct,unserved_Wh,capex_total_EUR,opex_total_EUR,repl_bat_EUR,fuel_cost_EUR
0,17000,172246.24714074042,511951.1220004185,17000.0,1,575494.3869222278,48.030467839830784,13364.194429287172,90.0,228610.4701536604,86934.13464005021,5750.900991537372,79561.21150915284,0.0
0,18000,80788.21833018654,179545.04988627584,18000.0,1,575494.3869222278,48.030467839830784,16996.14215695623,90.0,191470.81688648145,48545.4059863531,4340.106254224157,27902.7060896093,0.0
0,19000,63166.6512329009,110621.74180917654,19000.0,1,575494.3869222278,48.030467839830784,75816.68298939778,90.0,199973.83248126763,41774.60901710118,4200.5576787591035,17191.48453704062,0.0
0,20000,59651.3468767123,92036.12612706801,20000.0,1,575494.3869222278,48.030467839830784,127783.36992902272,90.0,199156.82155203566,41044.33513524816,4303.877354988983,14303.13438647516,0.0
0,21000,60951.31777620394,90633.64740096318,21000.0,1,575494.3869222278,48.030467839830784,179749.94717918755,90.0,200791.75128535664,42376.03768811558,4490.101873149091,14085.178214939271,0.0
0,22000,60948.578029159224,84582.49247985313,22000.0,1,575494.3869222278,48.030467839830784,227335.56424103168,90.0,199448.54851301672,43149.899097582376,4653.897555054299,13144.781376522547,0.0
0,23000,62205.275446001455,83025.59388376251,23000.0,1,575494.3869222278,48.030467839830784,269243.4105382417,90.0,193661.62765738068,44463.0712660515,4839.377031436248,12902.827148513712,0.0
0,24000,63939.98465692653,83174.46322162775,24000.0,1,575494.3869222278,48.030467839830784,312021.1295522579,90.0,188741.40033922976,45980.935586595326,5033.086461481277,12925.96260884993,0.0
0,25000,95775.7047229972,190737.7096354412,25000.0,1,575494.3869222278,48.030467839830784,353890.56000119966,90.41666666666667,184910.14005131007,60388.525156252945,5745.046544786921,29642.133021957336,0.0
0,26000,66868.73367005849,81542.84251401517,26000.0,1,575494.3869222278,48.030467839830784,403213.2749133355,90.0,183395.69030599573,48785.14110168182,5411.196588531948,12672.395979844729,0.0
0,27000,68148.43103128704,80068.01839412483,27000.0,1,575494.3869222278,48.030467839830784,451894.4180921656,90.0,183101.52055599572,50108.16220729498,5597.072056140254,12443.19676785179,0.0
0,28000,69495.8392181027,78834.81792557104,28000.0,1,575494.3869222278,48.030467839830784,500041.9455291953,90.0,182324.74630614527,51460.178151068525,5784.113304517927,12251.547762516251,0.0
0,29000,71016.67468512151,78220.48648306563,29000.0,1,575494.3869222278,48.030467839830784,551535.6123242764,90.0,184928.794056106,52886.45837796788,5974.140459305552,12156.075847848086,0.0
0,30000,72557.28335892205,77676.71501940856,30000.0,1,575494.3869222278,48.030467839830784,597033.2494993719,90.0,181701.93505616538,54321.20580232903,6164.5080504121115,12071.569506180907,0.0
