p0,pv_fixed,total_cost,bat_emax_t0,pv_wp,scenario,pv_curt_Wh,sat_time_pct,unserved_Wh,capex_total_EUR,opex_total_EUR,repl_bat_EUR,fuel_cost_EUR
0,17000,70759.07470107541,149797.78896899757,17000.0,1,18394.233675100993,90.0,231561.4703047643,43475.73467627971,4003.5911198677923,23279.748904927907,0.0
0,18000,148005.3111854376,419406.8336864278,18000.0,1,29975.787381960014,90.0,228482.48491660625,77328.82004237134,5497.386401729847,65179.10474133641,0.0
0,19000,69080.53908400812,131725.23838876432,19000.0,1,112517.07162333014,90.0,226274.84932947354,44307.028606651715,4302.377390292891,20471.133087063517,0.0
0,20000,90903.2319678884,203557.35661570952,20000.0,1,133770.49658395114,90.0,206153.4661054724,54426.88279388515,4841.942669209452,31634.40650479379,0.0
0,21000,50757.382247363224,54256.95427088438,21000.0,1,222444.0471239037,90.0,236718.51347327337,38010.834512506124,4314.592360443966,8431.955374413139,0.0
0,22000,84873.31418268589,169957.05491579144,22000.0,1,216877.5383542705,90.0,194654.0357272185,53394.84658989497,5065.810968870218,26412.656623920695,0.0
0,23000,52773.953766539584,49370.26090915223,23000.0,1,296117.98539309984,90.41666666666667,214779.56372854297,40424.43130909827,4676.997480629349,7672.524976811967,0.0
0,24000,55412.17210387622,52743.27014261641,24000.0,1,353766.187191496,90.41666666666667,226186.2164375524,42329.19241711397,4886.262673809479,8196.71701295277,0.0
0,25000,54593.915008627526,43781.97082889755,25000.0,1,408118.58703750186,90.0,226968.7408276675,42753.8364994677,5036.017551554124,6804.060957605695,0.0
0,26000,65438.79891547317,76440.17165481459,26000.0,1,465957.9549131811,90.0,238382.06383352645,48172.82059857775,5386.577328260255,11879.400988635165,0.0
0,27000,58755.602508234566,46550.04686685275,27000.0,1,507565.70001019107,90.0,230423.35560447164,46086.00562402233,5435.355243988588,7234.241640223656,0.0
0,28000,60123.79681294244,45391.02091409716,28000.0,1,549188.8147113515,90.0,220303.81309619814,47446.922509691656,5622.754368027918,7054.119935222863,0.0
0,29000,62020.905835489844,46119.408152095704,29000.0,1,599076.2697635657,90.0,223129.4885066217,49034.328978251484,5819.259843988737,7167.317013249624,0.0
