timestamp,consumption_W,pv_W,bat_W,soc_pct,emax_Wh
2023-01-01 00:00:00+03:00,211.77760676219475,0.0,211.77760676219475,70.0,258104.85849044326
2023-01-01 01:00:00+03:00,190.83362124782323,0.0,190.83362123253755,69.94801195232489,257975.72477638678
2023-01-01 02:00:00+03:00,178.43812730284628,0.0,178.43812730284628,69.89949988796268,257854.43941800072
2023-01-01 03:00:00+03:00,129.65494776522422,0.0,129.65494776522974,69.86483729899108,257764.04171491272
2023-01-01 04:00:00+03:00,133.84464810477314,0.0,133.84464809595374,69.8110784812384,257736.97811573735
2023-01-01 05:00:00+03:00,372.29999176611506,0.0,372.2999917661151,69.65395850603063,257689.5382933566
2023-01-01 06:00:00+03:00,388.2291725630941,950.321875,-562.0927024369059,69.85450961039709,257673.91183952877
2023-01-01 07:00:00+03:00,917.7919541155952,5575.696875,-4657.904920884404,71.48590553151772,257657.73066554763
2023-01-01 08:00:00+03:00,137.80160273998365,10932.75,-10794.948397260043,75.26148060293515,257640.9790803366
2023-01-01 09:00:00+03:00,193.55469927347536,18077.400000024554,-17883.84530075108,81.51459688590353,257622.41891519967
2023-01-01 10:00:00+03:00,307.8077965118797,8646.205981375613,-8338.398184863734,84.43410940057503,257602.56865021755
2023-01-01 11:00:00+03:00,313.68513449381544,313.68513449381544,0.0,84.44061620140248,257582.71838523546
2023-01-01 12:00:00+03:00,1687.0488425812791,1687.0488425812791,0.0,84.4471240051829,257562.86812025338
2023-01-01 13:00:00+03:00,2773.5343113109375,2773.5343113109375,0.0,84.45363281214819,257543.0178552713
2023-01-01 14:00:00+03:00,2843.0353968795957,2843.0353968795957,0.0,84.46014262253033,257523.1675902892
2023-01-01 15:00:00+03:00,1970.2543802557186,1970.2543802557186,0.0,84.46665343656137,257503.3173253071
2023-01-01 16:00:00+03:00,1021.7577662683801,1021.7577662683801,0.0,84.47316525447344,257483.46706032503
2023-01-01 17:00:00+03:00,499.5337492181085,499.5337492181085,0.0,84.47946358060013,257464.2705032088
2023-01-01 18:00:00+03:00,559.9858255050757,559.9858255050757,0.0,84.4853507321813,257446.32974573952
2023-01-01 19:00:00+03:00,614.9705492468838,0.0,0.0,84.4908484048341,257429.5781605285
2023-01-01 20:00:00+03:00,560.1981675194628,0.0,560.1981674981071,84.25330930760373,257373.12842333812
2023-01-01 21:00:00+03:00,376.392611212694,0.0,376.39261118668946,84.09687288002115,257325.33888295345
2023-01-01 22:00:00+03:00,364.4484438100205,0.0,364.4484438500367,83.94550710855634,257278.56998239475
2023-01-01 23:00:00+03:00,142.16735381803338,0.0,142.16735381804756,83.88955391751242,257250.7952005432
2023-01-02 00:00:00+03:00,138.1162433214948,0.0,138.1162433011923,83.8358550058566,257221.7517551688
2023-01-02 01:00:00+03:00,225.50118357790663,0.0,225.50118357790052,83.74504684878978,257183.87825823823
2023-01-02 02:00:00+03:00,175.6954126111665,0.0,0.0,83.74978911328894,257169.31542782954
2023-01-02 03:00:00+03:00,205.31440326095637,0.0,0.0,83.75453191490277,257154.75259742085
2023-01-02 04:00:00+03:00,175.92731711049015,0.0,175.92731711050146,83.6847408581442,257121.88842813144
2023-01-02 05:00:00+03:00,201.9795005496129,0.0,201.9795005496129,83.60485399099333,257083.35439707842
2023-01-02 06:00:00+03:00,248.64738989568284,248.64738989568284,0.0,83.61011652479388,257067.17322309728
2023-01-02 07:00:00+03:00,225.89653686314887,225.89653686314887,0.0,83.6153797211398,257050.99204911615
2023-01-02 08:00:00+03:00,218.3222752971884,218.3222752971884,0.0,83.62064358015625,257034.810875135
2023-01-02 09:00:00+03:00,196.77700228720565,196.77700228720565,0.0,83.62590810196839,257018.62970115387
2023-01-02 10:00:00+03:00,326.28611705496724,326.2861170549751,0.0,83.63117328670138,257002.44852717273
2023-01-02 11:00:00+03:00,227.67636003193084,0.0,227.67636003195912,83.5368607870952,256971.96006050185
2023-01-02 12:00:00+03:00,479.8976488993087,479.8976488993087,0.0,83.54249743440319,256954.6220546798
2023-01-02 13:00:00+03:00,372.081388713088,372.081388713088,0.0,83.54813484242774,256937.28404885778
2023-01-02 14:00:00+03:00,469.05836438742585,469.05836438742585,0.0,83.55377301132287,256919.94604303574
2023-01-02 15:00:00+03:00,403.8985435522509,-3.77087255140456e-08,403.89854354975364,83.38110835935349,256882.08995420914
2023-01-02 16:00:00+03:00,486.5774418879621,486.5774418879621,0.0,83.38673646570602,256864.7519483871
2023-01-02 17:00:00+03:00,2003.5635802287627,1575.1875000000002,428.3760802287625,83.20433358034894,256822.15423917127
2023-01-02 18:00:00+03:00,2804.7159131627654,1180.1875000000002,1624.5284131495282,82.50977566093529,256667.71037391378
2023-01-02 19:00:00+03:00,2913.3856061431197,0.0,2913.385606143129,81.272381133851,256358.23220513482
2023-01-02 20:00:00+03:00,2988.1587140854194,0.0,2988.15871408542,80.0,256041.1983820743
2023-01-02 21:00:00+03:00,2082.4758663213356,0.0,2082.475866321329,79.11281501427389,255815.6817725519
2023-01-02 22:00:00+03:00,413.26286605270144,0.0,413.2628660527116,78.94238886882071,255752.07234556263
2023-01-02 23:00:00+03:00,270.7519858662055,0.0,270.7519858457963,78.83223523009752,255705.37630282348
2023-01-03 00:00:00+03:00,222.93634055131403,0.0,222.93634053273126,78.73958218041837,255673.169860212
2023-01-03 01:00:00+03:00,262.52490017491283,0.0,262.524900152348,78.62956224691655,255638.11768459406
2023-01-03 02:00:00+03:00,145.5236672232245,0.0,145.52366723050363,78.57121571012601,255610.0561027487
