scenario,probability,consumption_kWh,pv_to_load_kWh,bat_discharge_kWh,bat_charge_kWh,pv_curtail_kWh,expected_kWh_contrib
1,0.2,575.4943869222279,666.0055792863078,373.53936605547847,464.0505584195306,0.0,115.09887738444559
2,0.2,574.919265243527,668.0334103724223,382.0433830085074,475.15752813736896,0.0,114.9838530487054
3,0.2,570.975281279041,659.1833459811406,366.0934041331316,454.3014688352274,0.0,114.19505625580821
4,0.2,577.2588536381337,669.9787777751302,382.8803481209235,476.22777225790753,0.0,115.45177072762675
5,0.2,574.2106602364128,665.8268374517181,377.07320653796336,468.68938375323444,0.0,114.84213204728256
